difficulty,puzzle_idx,board_str,method,mean_reward,std_reward,solve_rate,train_episodes,train_seconds
15,0,BBoJoooHoJCCGHAAKLGDDoKLooIEEoFFIooo,hrep,-3.0833,0.0000,0.0000,2500,21351.2
15,0,BBoJoooHoJCCGHAAKLGDDoKLooIEEoFFIooo,vrep,10.1015,0.0000,1.0000,2500,20971.1
15,0,BBoJoooHoJCCGHAAKLGDDoKLooIEEoFFIooo,gnn,-3.0863,0.0000,0.0000,2500,24171.0
15,1,BBHooKFoHoJKFAAoJLoGCCoLoGoIDDEEoIoo,hrep,-2.9000,0.0000,0.0000,2500,20039.3
15,1,BBHooKFoHoJKFAAoJLoGCCoLoGoIDDEEoIoo,vrep,10.1555,0.0000,1.0000,2500,21641.5
15,1,BBHooKFoHoJKFAAoJLoGCCoLoGoIDDEEoIoo,gnn,-2.9000,0.0000,0.0000,2500,24193.4
15,2,BBooKLFHooKLFHoAAMGCCJoMGoIJDDEEIooo,hrep,-3.1667,0.0000,0.0000,2500,20943.8
15,2,BBooKLFHooKLFHoAAMGCCJoMGoIJDDEEIooo,vrep,-3.1667,0.0000,0.0000,2500,21017.6
15,2,BBooKLFHooKLFHoAAMGCCJoMGoIJDDEEIooo,gnn,-3.1667,0.0000,0.0000,2500,25030.8
